index|id|country|country_code|city|neighborhood|postal_code|address|urban_situation|latitude|longitude
1|ARGS20031|Argentina|ARG|Rosario|Villa Banana|S2003|4102, José Gálvez, La Banana, Bella Vista, Distrito Oeste|Bus stop|-32.9614049513438|-60.6848408281803
2|ARGS2003IXO2|Argentina|ARG|Rosario|Villa Banana|S2003IXO|Calle Valparaíso 2453|Bus stop|-32.9580314274969|-60.6867330794227
3|ARGS2003HRZ3|Argentina|ARG|Rosario|Villa Banana|S2003HRZ|Boulevard 27 de Febrero 4424|Bus stop|-32.9594796504758|-60.6884952795297
4|ARGS2003ACA4|Argentina|ARG|Rosario|Villa Banana|S2003ACA|Calle Independencia|Bus stop|-32.9603922325634|-60.687333915008
5|ARGS2003EYD5|Argentina|ARG|Rosario|Villa Banana|S2003EYD|Calle Río de Janeiro 2748|Bus stop|-32.9617177665763|-60.6862501464547
6|ARGS2005GXG6|Argentina|ARG|Rosario|Nuevo Alberdi|S2005GXG|Calle Poblet 2817|Bus stop|-32.888795139055|-60.7223526289352
7|ARGS2005GYH7|Argentina|ARG|Rosario|Nuevo Alberdi|S2005GYH|Calle Laguna 3090|Bus stop|-32.8862184465469|-60.7241332486852
8|ARGS2005HLC8|Argentina|ARG|Rosario|Nuevo Alberdi|S2005HLC|Calle Villa del Parque 3195|Bus stop|-32.8851710807094|-60.7281411899215
9|ARGS2005CPD9|Argentina|ARG|Rosario|Nuevo Alberdi|S2005CPD|Boulevard Bouchard 2703|Bus stop|-32.8901104846632|-60.7204693938133
10|ARGS2005HLQ10|Argentina|ARG|Rosario|Nuevo Alberdi|S2005HLQ|Calle Villa del Parque|Bus stop|-32.8814027137054|-60.7283529394494
11|BRA89251-60011|Brazil|BRA|Jaraguá do Sul||89251-600|Rua Reinoldo Rau, 487|Bus stop|-26.4882287344175|-49.0807798504829
12|BRA89251-70012|Brazil|BRA|Jaraguá do Sul||89251-700|Avenida Marechal Deodoro da Fonseca, 903|Bus stop|-26.4894434553018|-49.082947075367
13|BRA89251-50013|Brazil|BRA|Jaraguá do Sul||89251-500|Rua Professora Marina Frutuoso, 98|Bus stop|-26.4927754696258|-49.0834061526035
14|BRA89252-27514|Brazil|BRA|Jaraguá do Sul||89252-275|Rua João Planincheck, 1530|Bus stop|-26.4921057136948|-49.0908006555438
15|BRA8925915|Brazil|BRA|Jaraguá do Sul||89259|Rua Cândido A. Tomaselli, 501|Bus stop|-26.4982822037737|-49.0857920314471
16|PER16|Peru|PER|Piura|Santa Julia||Calle Manuel Sullón|Bus stop|-5.19410343094422|-80.6632516203546
17|PER17|Peru|PER|Piura|Santa Julia||Avenida Perú y Calle Costa Rica|Bus stop|-5.19368138197464|-80.6593356861634
18|PER18|Peru|PER|Piura|Santa Julia||Avenida Vice|Bus stop|-5.19190770473508|-80.643145315355
