numero_img,index,id,country,country_code,city,node_type,latitude,longitude,indice,category,Angle_0,Angle_90,Angle_180,Angle_270,Angle_0_count,Angle_90_count,Angle_180_count,Angle_270_count,total_tags
14,1,ARGS20031,argentina,ARG,rosario,secundaria,-32.9625872,-60.685128,ARG_rosario_S_14,autonomy,,{'class_name': 'Stone bollard'},,,0,1,0,0,1
16,1,ARGS20031,argentina,ARG,rosario,secundaria,-32.9632319,-60.6880757,ARG_rosario_S_16,autonomy,{'class_name': 'Bench'},,,,1,0,0,0,1
17,1,ARGS20031,argentina,ARG,rosario,secundaria,-32.9637517,-60.6852881,ARG_rosario_S_17,autonomy,,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Cement box'}, {'class_name': 'Bench'}",0,0,0,3,3
25,1,ARGS20031,argentina,ARG,rosario,secundaria,-32.9614316,-60.6847188,ARG_rosario_S_25,autonomy,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}",{'class_name': 'Concrete planter'},0,0,2,1,3
112,2,ARGS2003IXO2,argentina,ARG,rosario,secundaria,-32.957543,-60.683746,ARG_rosario_S_112,autonomy,,{'class_name': 'Sun umbrella'},,,0,1,0,0,1
139,2,ARGS2003IXO2,argentina,ARG,rosario,secundaria,-32.9603018,-60.6887654,ARG_rosario_S_139,autonomy,{'class_name': 'Outdoor bench'},,,,1,0,0,0,1
152,2,ARGS2003IXO2,argentina,ARG,rosario,secundaria,-32.960659,-60.6888533,ARG_rosario_S_152,autonomy,,,"{'class_name': 'Outdoor bench'}, {'class_name': 'Bench'}","{'class_name': 'Outdoor bench'}, {'class_name': 'Concrete planter'}, {'class_name': 'Bench'}",0,0,2,3,5
175,3,ARGS2003HRZ3,argentina,ARG,rosario,secundaria,-32.9585135,-60.6911437,ARG_rosario_S_175,autonomy,,,,{'class_name': 'Concrete planter'},0,0,0,1,1
475,6,ARGS2005GXG6,argentina,ARG,rosario,secundaria,-32.8879012,-60.7223701,ARG_rosario_S_475,autonomy,,{'class_name': 'Bench'},,,0,1,0,0,1
507,6,ARGS2005GXG6,argentina,ARG,rosario,secundaria,-32.8899277,-60.7188371,ARG_rosario_S_507,autonomy,,{'class_name': 'Bench'},{'class_name': 'Bench'},,0,1,1,0,2
512,6,ARGS2005GXG6,argentina,ARG,rosario,secundaria,-32.8866071,-60.7194717,ARG_rosario_S_512,autonomy,,{'class_name': 'Stone bollard'},,,0,1,0,0,1
523,6,ARGS2005GXG6,argentina,ARG,rosario,secundaria,-32.8877543,-60.7192456,ARG_rosario_S_523,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
540,7,ARGS2005GYH7,argentina,ARG,rosario,secundaria,-32.8848457,-60.7206186,ARG_rosario_S_540,autonomy,,,,{'class_name': 'Cement box'},0,0,0,1,1
559,7,ARGS2005GYH7,argentina,ARG,rosario,secundaria,-32.8875115,-60.7273321,ARG_rosario_S_559,autonomy,,{'class_name': 'Cement box'},,,0,1,0,0,1
567,7,ARGS2005GYH7,argentina,ARG,rosario,secundaria,-32.8862605,-60.7265188,ARG_rosario_S_567,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
602,7,ARGS2005GYH7,argentina,ARG,rosario,secundaria,-32.8833336,-60.7242522,ARG_rosario_S_602,autonomy,,,,{'class_name': 'Concrete planter'},0,0,0,1,1
608,7,ARGS2005GYH7,argentina,ARG,rosario,secundaria,-32.8843431,-60.7262995,ARG_rosario_S_608,autonomy,,,,{'class_name': 'Bench'},0,0,0,1,1
612,7,ARGS2005GYH7,argentina,ARG,rosario,secundaria,-32.8835177,-60.7262411,ARG_rosario_S_612,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
613,7,ARGS2005GYH7,argentina,ARG,rosario,secundaria,-32.8842797,-60.7262083,ARG_rosario_S_613,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
614,7,ARGS2005GYH7,argentina,ARG,rosario,secundaria,-32.8842834,-60.726302,ARG_rosario_S_614,autonomy,,,,{'class_name': 'Bench'},0,0,0,1,1
618,7,ARGS2005GYH7,argentina,ARG,rosario,secundaria,-32.883467,-60.7269827,ARG_rosario_S_618,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
625,7,ARGS2005GYH7,argentina,ARG,rosario,secundaria,-32.8886882,-60.7267007,ARG_rosario_S_625,autonomy,,,{'class_name': 'Bench'},{'class_name': 'Bench'},0,0,1,1,2
635,8,ARGS2005HLC8,argentina,ARG,rosario,secundaria,-32.8869947,-60.72803,ARG_rosario_S_635,autonomy,,,{'class_name': 'Concrete planter'},,0,0,1,0,1
704,8,ARGS2005HLC8,argentina,ARG,rosario,secundaria,-32.8823575,-60.7249815,ARG_rosario_S_704,autonomy,,,,{'class_name': 'Bench'},0,0,0,1,1
717,9,ARGS2005CPD9,argentina,ARG,rosario,secundaria,-32.8928341,-60.7229094,ARG_rosario_S_717,autonomy,,,{'class_name': 'Bench'},,0,0,1,0,1
788,9,ARGS2005CPD9,argentina,ARG,rosario,secundaria,-32.8875112,-60.7175522,ARG_rosario_S_788,autonomy,{'class_name': 'Bench'},,,,1,0,0,0,1
810,10,ARGS2005HLQ10,argentina,ARG,rosario,secundaria,-32.8808807,-60.7298569,ARG_rosario_S_810,autonomy,{'class_name': 'Armchair'},{'class_name': 'Lounge chair'},,{'class_name': 'Armchair'},1,1,0,1,3
22,11,BRA89251-60011,brasil,BRA,jaragua_do_sul,secundaria,-26.4891383,-49.0828535,BRA_jaragua_do_sul_S_22,autonomy,,{'class_name': 'Shade umbrella'},,,0,1,0,0,1
26,11,BRA89251-60011,brasil,BRA,jaragua_do_sul,secundaria,-26.4908761,-49.0789638,BRA_jaragua_do_sul_S_26,autonomy,{'class_name': 'Shade umbrella'},{'class_name': 'Shade umbrella'},,,1,1,0,0,2
49,11,BRA89251-60011,brasil,BRA,jaragua_do_sul,secundaria,-26.4862119,-49.0827959,BRA_jaragua_do_sul_S_49,autonomy,{'class_name': 'Concrete planter'},,,,1,0,0,0,1
59,11,BRA89251-60011,brasil,BRA,jaragua_do_sul,secundaria,-26.485247,-49.0827805,BRA_jaragua_do_sul_S_59,autonomy,{'class_name': 'Bench'},,{'class_name': 'Bench'},,1,0,1,0,2
82,11,BRA89251-60011,brasil,BRA,jaragua_do_sul,secundaria,-26.4873529,-49.0828184,BRA_jaragua_do_sul_S_82,autonomy,{'class_name': 'Bench'},{'class_name': 'Bench'},"{'class_name': 'Lounge chair'}, {'class_name': 'Armchair'}",,1,1,2,0,4
132,12,BRA89251-70012,brasil,BRA,jaragua_do_sul,secundaria,-26.4877526,-49.0851277,BRA_jaragua_do_sul_S_132,autonomy,,,{'class_name': 'Concrete planter'},,0,0,1,0,1
